fico,ltv,coborrower,dti,state,default
661,66,N,44,FL,0
760,79,Y,44,CA,0
767,96,N,39,CA,0
577,57,N,40,AZ,0
746,88,N,43,CA,0
699,80,Y,10,CA,0
618,80,N,37,CA,0
637,75,N,12,AZ,0
746,91,N,42,AZ,0
592,56,Y,41,AZ,0
716,77,N,22,FL,0
612,79,N,30,FL,0
641,80,N,35,CA,0
833,100,N,25,CA,0
663,70,N,34,FL,0
829,104,N,36,AZ,0
792,96,N,34,CA,0
590,67,N,32,AZ,0
712,86,N,31,AZ,1
721,72,N,16,CA,0
733,89,N,22,FL,0
841,101,N,42,FL,0
611,70,Y,31,AZ,0
711,84,N,30,CA,0
706,71,N,29,CA,0
689,74,N,35,CA,0
583,67,Y,19,FL,0
788,95,N,33,AZ,0
572,68,N,38,CA,0
568,58,Y,18,CA,1
837,86,N,22,CA,0
778,82,N,15,CA,0
756,85,N,15,AZ,0
691,82,N,35,AZ,0
725,90,Y,16,AZ,0
833,93,N,16,AZ,0
554,54,Y,20,FL,0
685,74,N,23,CA,0
647,80,N,13,AZ,0
687,76,N,25,CA,0
690,89,N,31,CA,0
583,67,Y,21,AZ,0
575,72,N,10,AZ,0
636,78,N,27,CA,0
584,62,N,22,CA,0
736,87,N,31,AZ,0
771,78,Y,26,CA,0
757,89,N,36,CA,0
690,67,N,43,FL,0
683,78,N,42,FL,0
804,103,N,42,FL,0
834,107,Y,22,CA,0
746,92,N,13,AZ,0
693,70,N,35,FL,0
697,83,Y,10,FL,0
553,60,N,24,AZ,0
638,78,N,15,FL,0
565,70,N,11,AZ,0
735,74,N,13,CA,0
739,90,N,22,CA,0
633,74,N,19,AZ,0
618,64,Y,33,FL,0
769,93,N,22,CA,0
785,92,Y,36,CA,0
759,79,N,30,CA,0
571,67,N,38,CA,0
841,91,N,42,AZ,0
692,91,N,37,CA,0
556,74,N,31,CA,0
674,86,Y,35,CA,0
807,90,N,37,AZ,0
844,99,N,11,FL,0
810,91,N,12,CA,0
806,99,Y,12,CA,0
672,78,Y,41,CA,0
617,76,N,12,FL,0
612,68,Y,14,FL,0
716,77,N,15,CA,0
847,104,N,26,AZ,0
804,100,N,31,CA,0
845,97,N,28,CA,0
608,62,N,15,CA,0
720,85,N,37,CA,0
605,68,N,34,AZ,0
699,86,N,20,FL,0
632,67,N,37,AZ,1
665,72,N,22,CA,0
578,56,Y,42,CA,0
722,89,Y,39,CA,0
758,96,N,14,FL,0
591,66,Y,33,CA,0
748,81,N,34,CA,0
645,76,N,42,CA,0
697,89,N,23,AZ,0
571,72,Y,30,AZ,1
811,85,N,30,FL,0
820,98,N,17,FL,0
760,88,N,12,CA,0
678,77,N,30,CA,0
717,93,N,28,CA,0
807,85,N,23,FL,0
769,94,N,15,AZ,0
718,78,N,36,FL,0
713,83,N,16,AZ,0
800,94,N,18,AZ,0
586,64,N,29,CA,0
635,74,Y,15,FL,0
800,94,N,14,FL,0
721,92,N,26,CA,0
647,82,N,40,CA,0
695,73,Y,19,AZ,0
802,103,N,27,AZ,0
720,80,N,21,AZ,0
786,87,N,10,FL,0
732,73,Y,40,CA,0
650,73,N,10,CA,0
790,99,N,21,CA,0
565,52,N,17,CA,0
614,66,Y,14,AZ,0
567,72,Y,44,AZ,1
581,68,N,20,AZ,0
560,64,Y,36,AZ,0
767,90,N,22,AZ,0
795,97,N,13,FL,0
656,70,N,33,CA,0
693,72,Y,20,CA,0
583,62,N,38,AZ,0
794,100,N,39,FL,0
833,88,N,34,AZ,0
717,80,N,10,CA,0
621,73,N,34,AZ,0
562,56,N,25,FL,0
746,94,N,38,AZ,0
578,71,N,36,AZ,0
703,81,N,26,CA,0
677,70,N,37,CA,0
587,75,Y,35,CA,0
669,87,N,40,CA,0
640,83,N,23,AZ,0
723,71,N,41,CA,0
696,72,Y,30,FL,0
770,90,N,42,CA,0
677,76,N,12,CA,0
749,76,N,22,CA,0
832,86,N,20,AZ,0
563,73,N,27,CA,0
795,84,N,10,CA,0
760,96,Y,40,CA,0
703,77,Y,44,CA,0
804,84,N,35,CA,0
790,93,Y,31,CA,0
709,90,N,37,FL,0
767,99,N,28,CA,0
657,80,N,25,CA,0
760,78,N,21,FL,0
823,100,N,44,CA,0
569,68,Y,20,CA,0
715,85,Y,20,AZ,0
653,73,N,29,FL,0
846,91,Y,16,CA,0
761,77,N,33,AZ,0
570,74,Y,33,CA,0
626,83,N,24,AZ,0
695,68,N,42,CA,0
833,97,N,20,CA,0
685,85,N,28,CA,0
727,87,N,41,CA,0
799,87,Y,44,FL,0
821,98,N,40,AZ,0
834,106,N,40,AZ,0
658,71,N,38,FL,0
812,102,N,17,CA,0
651,68,N,14,FL,0
680,72,N,33,FL,0
576,65,N,32,CA,1
651,64,Y,30,CA,0
826,101,N,33,CA,0
809,87,N,13,CA,0
739,95,N,16,CA,0
689,88,Y,37,CA,0
811,89,Y,42,AZ,0
688,76,Y,34,AZ,0
584,67,N,43,CA,0
681,87,N,42,AZ,1
578,69,N,20,CA,0
635,64,N,15,AZ,0
617,69,Y,10,AZ,0
796,86,N,30,AZ,0
806,103,N,12,CA,0
724,87,N,40,AZ,0
629,80,Y,36,CA,0
808,84,N,18,CA,0
634,76,N,33,FL,0
632,68,Y,23,CA,0
751,82,Y,26,CA,0
620,65,N,24,CA,0
746,95,Y,43,CA,0
650,71,Y,27,AZ,0
834,101,N,12,CA,0
559,62,N,13,CA,0
567,70,N,42,AZ,0
726,83,N,43,CA,0
587,55,N,33,AZ,0
736,77,N,16,FL,0
796,83,N,41,FL,0
551,51,N,18,CA,0
774,80,N,29,CA,0
564,69,N,25,CA,0
666,81,N,15,CA,0
686,80,N,30,CA,0
741,78,Y,40,CA,0
691,70,Y,38,AZ,0
673,75,Y,41,AZ,0
726,72,N,39,CA,0
678,80,Y,10,AZ,0
617,72,N,18,CA,0
750,97,N,31,FL,0
767,92,N,13,AZ,0
576,74,N,27,AZ,0
848,88,N,11,CA,0
605,71,Y,36,AZ,0
843,106,N,35,CA,0
588,65,N,43,AZ,0
682,66,Y,27,CA,0
756,77,N,33,AZ,0
810,86,N,32,CA,0
811,96,N,25,AZ,0
590,74,N,21,AZ,0
721,91,N,11,FL,0
779,97,Y,29,AZ,0
613,58,N,23,AZ,0
676,88,N,16,FL,0
640,76,N,30,CA,0
634,61,N,11,AZ,0
634,73,N,18,AZ,0
784,87,N,13,CA,0
619,73,N,22,AZ,0
632,80,N,27,FL,0
816,87,N,17,CA,0
559,73,N,25,AZ,0
740,93,N,12,CA,0
600,73,N,21,AZ,0
757,98,N,10,CA,0
610,62,Y,32,CA,0
777,81,N,42,AZ,0
786,97,N,22,CA,0
827,90,N,22,AZ,0
609,59,Y,30,FL,0
767,89,N,11,AZ,0
710,81,N,42,AZ,0
744,80,N,44,AZ,0
562,54,Y,17,CA,0
572,65,N,31,CA,0
624,59,N,31,CA,0
676,67,Y,10,AZ,0
846,91,N,20,AZ,0
643,75,N,44,AZ,0
615,59,N,11,CA,0
776,77,N,24,CA,0
780,95,N,16,CA,0
668,69,N,23,FL,0
675,87,N,37,AZ,0
817,92,N,28,CA,0
721,73,Y,42,CA,0
596,61,N,43,CA,0
597,68,N,33,CA,0
753,77,N,17,FL,1
689,75,Y,13,CA,0
709,87,N,27,CA,0
617,70,N,18,AZ,0
707,88,Y,38,CA,0
670,72,N,31,CA,0
724,82,N,27,FL,0
665,69,N,10,FL,0
594,58,Y,20,AZ,0
634,70,Y,24,CA,0
646,69,Y,39,AZ,0
622,74,N,44,AZ,0
584,64,N,36,CA,0
739,88,Y,10,CA,0
804,95,N,34,CA,0
837,106,N,41,AZ,0
621,64,Y,15,AZ,0
767,90,N,13,CA,0
621,67,Y,18,CA,0
642,62,Y,33,CA,0
576,71,Y,42,CA,0
579,64,N,11,AZ,0
559,63,N,22,CA,0
590,64,N,13,AZ,0
610,79,N,44,CA,0
805,85,N,21,AZ,0
599,64,N,41,AZ,0
694,78,N,17,AZ,0
629,67,N,31,CA,0
661,81,N,22,CA,0
765,84,N,31,CA,0
808,99,N,28,CA,0
631,74,Y,21,AZ,0
717,82,Y,37,CA,0
756,91,N,15,AZ,0
837,100,Y,36,CA,0
601,61,N,37,CA,0
730,80,N,35,CA,0
630,83,N,39,AZ,1
798,94,N,21,CA,0
711,86,N,24,CA,0
686,83,Y,38,AZ,0
752,95,N,19,AZ,0
731,94,N,10,CA,0
741,91,Y,35,AZ,0
844,105,N,14,CA,0
836,90,N,38,CA,0
588,61,N,29,CA,0
667,87,Y,15,CA,0
742,87,N,14,AZ,0
723,71,N,17,CA,1
777,92,Y,43,AZ,0
706,88,N,31,AZ,0
581,70,N,38,AZ,0
797,81,N,19,AZ,0
592,71,Y,10,CA,0
811,97,N,41,CA,0
715,82,N,41,FL,0
590,58,N,17,CA,0
843,93,N,14,CA,0
574,69,N,33,FL,0
654,82,N,35,AZ,0
761,80,N,18,AZ,0
820,91,N,33,AZ,0
726,91,N,32,CA,0
623,58,Y,27,CA,0
666,81,N,38,AZ,0
689,88,N,11,AZ,0
774,82,N,31,AZ,0
723,83,N,34,AZ,0
848,100,N,41,CA,0
563,59,N,36,CA,0
743,85,N,32,CA,0
557,65,N,21,AZ,1
579,64,Y,43,CA,0
618,61,N,11,FL,0
807,90,N,27,CA,0
768,80,N,44,AZ,0
770,81,N,17,CA,0
832,96,N,28,AZ,0
661,86,N,33,CA,0
599,73,N,18,AZ,0
654,77,N,33,CA,0
753,75,N,33,CA,0
776,91,N,25,CA,0
689,77,N,43,AZ,0
702,74,N,43,CA,0
729,94,N,43,FL,0
653,79,N,30,CA,0
837,98,N,20,FL,0
809,93,N,21,CA,0
712,76,Y,12,AZ,0
745,86,N,41,CA,0
564,58,N,12,CA,0
579,72,N,27,AZ,0
628,78,N,29,CA,0
694,86,N,31,CA,0
559,58,N,20,CA,0
830,98,N,29,AZ,0
676,79,N,15,CA,0
800,91,N,15,AZ,0
701,89,Y,39,CA,0
745,77,Y,32,CA,0
739,82,N,24,CA,0
709,86,N,28,CA,0
593,76,N,26,CA,0
807,93,N,24,FL,0
699,69,N,40,CA,0
825,87,N,33,CA,0
793,92,N,17,CA,0
775,97,N,14,CA,0
749,74,N,25,CA,0
841,89,N,16,FL,0
607,71,N,25,FL,0
771,81,N,15,CA,0
607,77,Y,25,AZ,0
824,92,N,19,AZ,0
652,85,N,36,AZ,0
781,87,N,40,CA,0
736,89,Y,35,CA,0
649,69,Y,11,CA,0
553,51,Y,40,CA,0
670,86,N,11,AZ,0
629,60,N,25,CA,0
609,58,N,37,FL,0
663,74,Y,22,AZ,0
683,84,Y,26,AZ,0
781,79,N,27,CA,0
569,70,N,25,CA,0
836,98,N,13,AZ,0
